STATUS,GTIN_14,GTIN_12_UPC,PACKAGING_TYPE,PACKAGING_LEVEL,PRODUCT_DESCRIPTION,SKU
In Use,00811767022293,811767022293,Regular,Each,"FREEDOM K TIBIAL LINER PS C3 ALLPOLY, 20mm",ALPSXC320-K
In Use,00810008126172,810008126172,Regular,Each,"Freedom All Poly Tibial PS, Size C4, 09mm",ALPSXC409-K
In Use,00810008126189,810008126189,Regular,Each,"Freedom All Poly Tibial PS, Size C4, 11mm",ALPSXC411-K
In Use,00810008126196,810008126196,Regular,Each,"Freedom All Poly Tibial PS, Size C4, 14mm",ALPSXC414-K
In Use,00810008126202,810008126202,Regular,Each,"Freedom All Poly Tibial PS, Size C4, 17mm",ALPSXC417-K
In Use,00811767020480,811767020480,Regular,Each,"FREEDOM K TIBIAL LINER PS D2 ALLPOLY, 09mm",ALPSXD209-K
In Use,00811767020497,811767020497,Regular,Each,"FREEDOM K TIBIAL LINER PS D2 ALLPOLY, 11mm",ALPSXD211-K
In Use,00811767020503,811767020503,Regular,Each,"FREEDOM K TIBIAL LINER PS D2 ALLPOLY, 14mm",ALPSXD214-K
In Use,00811767020510,811767020510,Regular,Each,"FREEDOM K TIBIAL LINER PS D2 ALLPOLY, 17mm",ALPSXD217-K
In Use,00811767022309,811767022309,Regular,Each,"FREEDOM K TIBIAL LINER PS D2 ALLPOLY, 20mm",ALPSXD220-K
In Use,00811767020527,811767020527,Regular,Each,"FREEDOM K TIBIAL LINER PS D3 ALLPOLY, 09mm",ALPSXD309-K
In Use,00811767020534,811767020534,Regular,Each,"FREEDOM K TIBIAL LINER PS D3 ALLPOLY, 11mm",ALPSXD311-K
In Use,00811767020541,811767020541,Regular,Each,"FREEDOM K TIBIAL LINER PS D3 ALLPOLY, 14mm",ALPSXD314-K
In Use,00811767020558,811767020558,Regular,Each,"FREEDOM K TIBIAL LINER PS D3 ALLPOLY, 17mm",ALPSXD317-K
In Use,00811767022316,811767022316,Regular,Each,"FREEDOM K TIBIAL LINER PS D3 ALLPOLY, 20mm",ALPSXD320-K
In Use,00811767020565,811767020565,Regular,Each,"FREEDOM K TIBIAL LINER PS D4 ALLPOLY, 09mm",ALPSXD409-K
In Use,00811767020572,811767020572,Regular,Each,"FREEDOM K TIBIAL LINER PS D4 ALLPOLY, 11mm",ALPSXD411-K
In Use,00811767020589,811767020589,Regular,Each,"FREEDOM K TIBIAL LINER PS D4 ALLPOLY, 14mm",ALPSXD414-K
In Use,00811767020596,811767020596,Regular,Each,"FREEDOM K TIBIAL LINER PS D4 ALLPOLY, 17mm",ALPSXD417-K
In Use,00811767022323,811767022323,Regular,Each,"FREEDOM K TIBIAL LINER PS D4 ALLPOLY, 20mm",ALPSXD420-K
In Use,00810008126219,810008126219,Regular,Each,"Freedom All Poly Tibial PS, Size E3, 09mm",ALPSXE309-K
In Use,00810008126226,810008126226,Regular,Each,"Freedom All Poly Tibial PS, Size E3, 11mm",ALPSXE311-K
In Use,00810008126233,810008126233,Regular,Each,"Freedom All Poly Tibial PS, Size E3, 14mm",ALPSXE314-K
In Use,00810008126240,810008126240,Regular,Each,"Freedom All Poly Tibial PS, Size E3, 17mm",ALPSXE317-K
In Use,00811767020602,811767020602,Regular,Each,"FREEDOM K TIBIAL LINER PS E4 ALLPOLY, 09mm",ALPSXE409-K
In Use,00811767020619,811767020619,Regular,Each,"FREEDOM K TIBIAL LINER PS E4 ALLPOLY, 11mm",ALPSXE411-K
In Use,00811767020626,811767020626,Regular,Each,"FREEDOM K TIBIAL LINER PS E4 ALLPOLY, 14mm",ALPSXE414-K
In Use,00811767020633,811767020633,Regular,Each,"FREEDOM K TIBIAL LINER PS E4 ALLPOLY, 17mm",ALPSXE417-K
In Use,00811767022330,811767022330,Regular,Each,"FREEDOM K TIBIAL LINER PS E4 ALLPOLY, 20mm",ALPSXE420-K
In Use,00811767020640,811767020640,Regular,Each,"FREEDOM K TIBIAL LINER PS E5 ALLPOLY, 09mm",ALPSXE509-K
In Use,00811767020657,811767020657,Regular,Each,"FREEDOM K TIBIAL LINER PS E5 ALLPOLY, 11mm",ALPSXE511-K
In Use,00811767020664,811767020664,Regular,Each,"FREEDOM K TIBIAL LINER PS E5 ALLPOLY, 14mm",ALPSXE514-K
In Use,00811767020671,811767020671,Regular,Each,"FREEDOM K TIBIAL LINER PS E5 ALLPOLY, 17mm",ALPSXE517-K
In Use,00811767022347,811767022347,Regular,Each,"FREEDOM K TIBIAL LINER PS E5 ALLPOLY, 20mm",ALPSXE520-K
In Use,00810008126257,810008126257,Regular,Each,"Freedom All Poly Tibial PS, Size E6, 09mm",ALPSXE609-K
In Use,00810008126264,810008126264,Regular,Each,"Freedom All Poly Tibial PS, Size E6, 11mm",ALPSXE611-K
In Use,00810008126271,810008126271,Regular,Each,"Freedom All Poly Tibial PS, Size E6, 14mm",ALPSXE614-K
In Use,00810008126288,810008126288,Regular,Each,"Freedom All Poly Tibial PS, Size E6, 17mm",ALPSXE617-K
In Use,00811767020688,811767020688,Regular,Each,"FREEDOM K TIBIAL LINER PS F5 ALLPOLY, 09mm",ALPSXF509-K
In Use,00811767020695,811767020695,Regular,Each,"FREEDOM K TIBIAL LINER PS F5 ALLPOLY, 11mm",ALPSXF511-K
In Use,00811767020701,811767020701,Regular,Each,"FREEDOM K TIBIAL LINER PS F5 ALLPOLY, 14mm",ALPSXF514-K
In Use,00811767020718,811767020718,Regular,Each,"FREEDOM K TIBIAL LINER PS F5 ALLPOLY, 17mm",ALPSXF517-K
In Use,00811767022354,811767022354,Regular,Each,"FREEDOM K TIBIAL LINER PS F5 ALLPOLY, 20mm",ALPSXF520-K
In Use,00810008126295,810008126295,Regular,Each,"Freedom All Poly Tibial PS, Size F6, 09mm",ALPSXF609-K
In Use,00810008126301,810008126301,Regular,Each,"Freedom All Poly Tibial PS, Size F6, 11mm",ALPSXF611-K
In Use,00810008126318,810008126318,Regular,Each,"Freedom All Poly Tibial PS, Size F6, 14mm",ALPSXF614-K
In Use,00810008126325,810008126325,Regular,Each,"Freedom All Poly Tibial PS, Size F6, 17mm",ALPSXF617-K
In Use,00810008126332,810008126332,Regular,Each,"Freedom All Poly Tibial PS, Size F7, 09mm",ALPSXF709-K
In Use,00810008126349,810008126349,Regular,Each,"Freedom All Poly Tibial PS, Size F7, 11mm",ALPSXF711-K
In Use,00810008126356,810008126356,Regular,Each,"Freedom All Poly Tibial PS, Size F7, 14mm",ALPSXF714-K
In Use,00810008126363,810008126363,Regular,Each,"Freedom All Poly Tibial PS, Size F7, 17mm",ALPSXF717-K
In Use,00810008126370,810008126370,Regular,Each,"Freedom All Poly Tibial PS, Size G5, 09mm",ALPSXG509-K
In Use,00810008126387,810008126387,Regular,Each,"Freedom All Poly Tibial PS, Size G5, 11mm",ALPSXG511-K
In Use,00810008126394,810008126394,Regular,Each,"Freedom All Poly Tibial PS, Size G5, 14mm",ALPSXG514-K
In Use,00810008126400,810008126400,Regular,Each,"Freedom All Poly Tibial PS, Size G5, 17mm",ALPSXG517-K
In Use,00810008126417,810008126417,Regular,Each,"Freedom All Poly Tibial PS, Size G6, 09mm",ALPSXG609-K
In Use,00810008126424,810008126424,Regular,Each,"Freedom All Poly Tibial PS, Size G6, 11mm",ALPSXG611-K
In Use,00810008126431,810008126431,Regular,Each,"Freedom All Poly Tibial PS, Size G6, 14mm",ALPSXG614-K
In Use,00810008126448,810008126448,Regular,Each,"Freedom All Poly Tibial PS, Size G6, 17mm",ALPSXG617-K
In Use,00811767020725,811767020725,Regular,Each,"FREEDOM K TIBIAL LINER PS G7 ALLPOLY, 09mm",ALPSXG709-K
In Use,00811767020732,811767020732,Regular,Each,"FREEDOM K TIBIAL LINER PS G7 ALLPOLY, 11mm",ALPSXG711-K
In Use,00811767020749,811767020749,Regular,Each,"FREEDOM K TIBIAL LINER PS G7 ALLPOLY, 14mm",ALPSXG714-K
In Use,00811767020756,811767020756,Regular,Each,"FREEDOM K TIBIAL LINER PS G7 ALLPOLY, 17mm",ALPSXG717-K
In Use,00811767022491,811767022491,Regular,Each,"FREEDOM K TIBIAL LINER PS G7 ALLPOLY, 20mm",ALPSXG720-K
In Use,00810008126455,810008126455,Regular,Each,"Freedom All Poly Tibial PS, Size G8, 09mm",ALPSXG809-K
In Use,00810008126462,810008126462,Regular,Each,"Freedom All Poly Tibial PS, Size G8, 11mm",ALPSXG811-K
In Use,00810008126479,810008126479,Regular,Each,"Freedom All Poly Tibial PS, Size G8, 14mm",ALPSXG814-K
In Use,00810008126486,810008126486,Regular,Each,"Freedom All Poly Tibial PS, Size G8, 17mm",ALPSXG817-K
In Use,00811767022361,811767022361,Regular,Each,"FREEDOM K TIBIAL LINER PS H7 ALLPOLY, 09mm",ALPSXH709-K
In Use,00811767022378,811767022378,Regular,Each,"FREEDOM K TIBIAL LINER PS H7 ALLPOLY, 11mm",ALPSXH711-K
In Use,00811767022385,811767022385,Regular,Each,"FREEDOM K TIBIAL LINER PS H7 ALLPOLY, 14mm",ALPSXH714-K
In Use,00811767022392,811767022392,Regular,Each,"FREEDOM K TIBIAL LINER PS H7 ALLPOLY, 17mm",ALPSXH717-K
In Use,00811767022408,811767022408,Regular,Each,"FREEDOM K TIBIAL LINER PS H7 ALLPOLY, 20mm",ALPSXH720-K
In Use,00810008126493,810008126493,Regular,Each,"Freedom All Poly Tibial PS, Size H8, 09mm",ALPSXH809-K
In Use,00810008126509,810008126509,Regular,Each,"Freedom All Poly Tibial PS, Size H8, 11mm",ALPSXH811-K
In Use,00810008126516,810008126516,Regular,Each,"Freedom All Poly Tibial PS, Size H8, 14mm",ALPSXH814-K
In Use,00810008126523,810008126523,Regular,Each,"Freedom All Poly Tibial PS, Size H8, 17mm",ALPSXH817-K
In Use,00811767022668,811767022668,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size A1 9mm",ALCRXA109-K
In Use,00811767022675,811767022675,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size A1 11mm",ALCRXA111-K
In Use,00811767022682,811767022682,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size A1 14mm",ALCRXA114-K
In Use,00811767022699,811767022699,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size A1 17mm",ALCRXA117-K
In Use,00811767022705,811767022705,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size A1 20mm",ALCRXA120-K
In Use,00810008125731,810008125731,Regular,Each,"Freedom All Poly Tibial CR, Size B1, 09mm",ALCRXB109-K
In Use,00810008125748,810008125748,Regular,Each,"Freedom All Poly Tibial CR, Size B1, 11mm",ALCRXB111-K
In Use,00810008125755,810008125755,Regular,Each,"Freedom All Poly Tibial CR, Size B1, 14mm",ALCRXB114-K
In Use,00810008125762,810008125762,Regular,Each,"Freedom All Poly Tibial CR, Size B1, 17mm",ALCRXB117-K
In Use,00811767022712,811767022712,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size B2 9mm",ALCRXB209-K
In Use,00811767022729,811767022729,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size B2 11mm",ALCRXB211-K
In Use,00811767022736,811767022736,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size B2 14mm",ALCRXB214-K
In Use,00811767022743,811767022743,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size B2 17mm",ALCRXB217-K
In Use,00811767022750,811767022750,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size B2 20mm",ALCRXB220-K
In Use,00811767022767,811767022767,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C2 9mm",ALCRXC209-K
In Use,00811767022774,811767022774,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C2 11mm",ALCRXC211-K
In Use,00811767022781,811767022781,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C2 14mm",ALCRXC214-K
In Use,00811767022798,811767022798,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C2 17mm",ALCRXC217-K
In Use,00811767022804,811767022804,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C2 20mm",ALCRXC220-K
In Use,00811767022811,811767022811,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C3 9mm",ALCRXC309-K
In Use,00811767022828,811767022828,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C3 11mm",ALCRXC311-K
In Use,00811767022835,811767022835,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C3 14mm",ALCRXC314-K
In Use,00811767022842,811767022842,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C3 17mm",ALCRXC317-K
In Use,00811767022859,811767022859,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size C3 20mm",ALCRXC320-K
